企業名,キャッチコピー,ステータス,初年度年収
テックマート株式会社 | エンジニアの成長を応援「生涯現役のプロフェッショナル」へ！,市場価値の高いエンジニアへ成長【SE（WEB・オープン系）】 正社員,正社員,400万円～500万円
株式会社小田原エンジニアリング | 世界トップクラスのシェアを誇るモーター用巻線設備メーカー,JASDAQ上場企業で活躍できる【社内SE】 正社員,正社員,450万円～800万円
新日本システック株式会社 | 東証一部上場イトーキのグループ会社★直近3年間の離職率0％！,【組込系/制御系/開発SE】★年間休日120日以上・残業ほぼ無し！ 正社員,正社員,350万円～600万円
ユニバース情報システム株式会社 | 完全週休2日制／残業月平均20H以下／産休・育休制度あり,46年の歴史を誇る独立系Sierで活躍！【ITエンジニア】 正社員,正社員,440万円～600万円
ミクロン精密株式会社 | 限りなき円の追求で研削技術・技能を極める専用工作機械メーカー,【社内SE】完全週休二日制・残業少なめ・転勤なし 正社員,正社員,
株式会社ｅｃｏｍｍｉｔ | 独自の流通網で海外20か国以上と取引をする環境ベンチャー企業！,【CTO(技術責任者)プロジェクトマネージャー】年収1000万円可能 正社員,正社員,480万円～1000万円
株式会社マイナビワークス | 【マイナビグループ】#土日祝休み #残業月平均20～30時間,【フロントエンドエンジニア】マイナビグループで活躍／土日祝休 正社員,正社員,400万円～500万円
株式会社ノベルズ | 【グループ売上264億円】◎U・Iターン向けの費用サポートあり,★技術力より人物重視/経験浅OK ★先進技術に携われる【社内SE】 正社員,正社員,
日本フォームサービス株式会社 | 創業63年のメーカー★住宅・家族手当など充実,【管理部門担当（社内システム管理・人事など）】未経験歓迎 正社員,正社員,320万円～530万円
株式会社MGIC | PM経験者を積極採！受託開発に力を入れる回路設計の職人集団,充実の体制でスキルアップ【デジタル回路設計】★年間休日125日 正社員,正社員,375万円～610万円
三愛石油株式会社 | 東証一部上場｜「健康経営優良法人」に2017年より4年連続認定,【社内SE(企画・開発)】年休121日／完全週休2日／残業月平均10h 正社員,正社員,450万円～880万円
十全化学株式会社 | 積極的に事業領域拡大を進めるリーディングカンパニー,設立70年！富山県優良企業での【社内SE】※人物重視 正社員,正社員,400万円～700万円
東亜システム株式会社 | 医事会計や電子カルテなど、医療システムを手がける会社！,ITの力で医療業界に貢献！【SE】★完全土日祝休み 正社員,正社員,
株式会社リブドゥコーポレーション | 設立56年！業界トップクラスのシェアを誇るメーカー企業,医療現場の効率化を実現!【SE】★年休120日／残業平均月20h程度 正社員,正社員,350万円～500万円
株式会社テクネット | 長野駅から徒歩8分の駅チカ☆完全週休二日でプライベートと両立,自社ブランドシステムの【ソフトウェア開発】◎年間休日128日！ 正社員,正社員,300万円～500万円
株式会社神奈中情報システム | 【東証一部/ 神奈中グループ】抜群の安定感 ◆湘南エリアで働く,★自社パッケージ開発多数！【社内SE】上流工程に携われます！ 正社員,正社員,300万円～500万円
株式会社ACO | 土日祝＆長期休暇あり｜産前産後休暇・育児休暇の取得実績あり,経営志向のデザインツールを提供【Web系SE・プログラマー】 正社員,正社員,
日本システム総合研究所株式会社 | ◎年休125日◎残業月20h程度,★8割が1次請【システムエンジニア】※Javaの開発経験者歓迎！ 正社員,正社員,350万円～550万円
株式会社アール・シー・エス | 《西日本放送グループ》#100％自社開発 #土日祝休み #転勤なし,直近6年間離職者ゼロ☆テレワークOK☆【社内SE】残業少なめ☆ 正社員,正社員,300万円～500万円
東亜システム株式会社 | 医事会計や電子カルテなど、医療システムを手がける会社！,医療現場を支える【SPDシステムエンジニア】★完全土日祝休み 正社員,正社員,
エヌアイシィ株式会社 | ＜入社後3ヶ月の研修有＞資格取得支援／住宅手当／年間休日124日,【未経験OKのITエンジニア】3ヶ月間は実務ナシで社内研修に集中 正社員,正社員,300万円～350万円
株式会社カーブスジャパン | 国内2000店舗以上を展開/完全週休2日(土日祝休み)/年間休日120日,【社内SE】業界トップクラスの企業をITで支える◆人柄重視の採用 正社員,正社員,400万円～600万円
三愛石油株式会社 | 東証一部上場｜「健康経営優良法人」に2017年より4年連続認定,【社内SE(保守・運用)】年休121日／完全週休2日／残業月平均10h 正社員,正社員,450万円～880万円
山九株式会社 | 東証1部上場｜創業102年｜グローバルに事業展開中,【シンガポール勤務の社内SE】半年～1年程度は国内(本社)でOJT 正社員,正社員,400万円～560万円
株式会社Vコレクタリア | ★未経験スタート90％★残業月10h以下★20代中心★年休125日以上,【インフラエンジニア】★MAX月5万円の資格手当あり★土日祝休み 正社員,正社員,200万円～1500万円
日本電気計器検定所 | ◆計量法に基づく第三者機関 ◆高定着率！平均勤続年数27.4年,安定性◎公正中立な第三者機関で活躍！【社内SE】年休125日以上 正社員,正社員,430万円～550万円
株式会社第一コンピュータサービス | 日立のセグメントパートナー★プライベート安心！育休実績も豊富,【システム開発エンジニア】★年休120日｜リモートワーク活用中 正社員,正社員,300万円～550万円
学校法人国際理工学園 | 【国際理工情報デザイン専門学校】残業少なめ・土日祝休み,IT・ゲーム分野等専門学校の【専任教員】年休130日以上 正社員,正社員,400万円～800万円
株式会社アクウェア | 年間休日127日／残業月20h程度／テレワーク・時差出勤も実施中！,【プログラマー／システムエンジニア】★昨年度賞与:6.0ヶ月分 正社員,正社員,350万円～650万円
マルヤス工業株式会社 | 国内の全自動車メーカーと取引するTier1企業★完全土日休み,この先さらにDXを強化！スキルを活かせる【社内システム開発】 正社員,正社員,300万円～500万円
上海中和軟件有限公司 | (上海中和株式会社)◆大手直取引◆日中合弁企業として1991年設立,年収1200万円も目指せる！【SE・PG】1ヶ月超の長期休暇可 契約社員,契約社員,540万円～1200万円
医療法人社団輝生会 | 残業月10h程度/年休120日超等、プライベートも大切にできる！,【病院事務】※20～40代中心に活躍中！未経験も歓迎！ 正社員,正社員,250万円～350万円
株式会社エクシードキャリア | ＜履歴書不要で応募OK★WEB面接可★条件に合う方面接確約＞,仕事も私生活も大切にできる♪【事務スタッフ】＊年休129日＊ 正社員,正社員,276万円～380万円
株式会社コントロールテクノロジー | 国内最大級２０００万人が使う予約システム！研修制度完備,やりがいを感じながら成長できる【Webエンジニア】 正社員,正社員,360万円～600万円
株式会社セイコーフレッシュフーズ | 道民おなじみ！コンビニ「セイコーマート【Secoma】」の物流・卸,＜8割転職者／札幌勤務／年休120日＞運用メインの【社内SE】 正社員,正社員,
株式会社丸美屋 | ベストセラー『お城納豆』でお馴染み★安定の食品業界で成長する,会社改革！あなたの”やりたい”にチャレンジできる！【社内SE】 正社員,正社員,
株式会社ナナミ | 長年教育業界の製品を作ってきた製造メーカーで安定感抜群,会社の成長を支える【社内SE】経験者募集／やりがいある環境 正社員,正社員,300万円～450万円
株式会社クラックスシステム | #大阪府緊急雇用対策に賛同#水道局や官公庁のプロジェクトも多数,自社内開発多数の【SE/PG】残業月平均15h★年休120日★賞与年3回 正社員,正社員,350万円～600万円
株式会社 ジーエスイー | 残業月平均20h。福岡で大きなプロジェクトを手掛ける！,★福岡本社×転勤なし★【SE・PG】※土日祝休み！年間休日120日 正社員,正社員,350万円～600万円
株式会社タップ | ＼年間休日120日／研修制度も充実◎若手社員が活躍しています！,メディアからの注目度も高い成長企業です【カスタマーサポート】 正社員,正社員,
株式会社アシストシステム研究所 | 「ルーラル電子図書館」や「お誕生日新聞」を開発・運営！,【SE・PG】国内有数のWEBサービスの基盤を支えるお仕事です 正社員,正社員,
株式会社アドバンスド・デジタル・テクノロジー | ★年休125日★残業月平均20時間★完全週休2日制★取引案件多数,【SE・PG】経験を活かして活躍！◇福岡市内勤務／転勤なし 正社員,正社員,
株式会社エム・ソフト | ◎最先端技術 & 独自の特許技術 & 豊富な案件で成長を後押し,いい意味で、欲張れ【PL／PM(候補）】キヤノン株式会社出資企業 正社員,正社員,380万円～550万円
株式会社マクロアーク | スクラッチ案件で技術力が身に付く／年休120日以上／残業少なめ,上流工程のプロジェクトに参加できる【SE・PG】 正社員,正社員,350万円～550万円
株式会社Dfor | ■津市の官公庁や、桑名や四日市など民間企業とも安定取引！,"『""志""を持つ、創業メンバーを募集』【 SE 】＊年休120日＊ 正社員",正社員,312万円～660万円
八光オートメーション株式会社 | 創業52年！オンリーワンを生み出す自動制御装置メーカー,機械・電気・制御のプロフェッショナルに！【 設計開発職 】 正社員,正社員,
株式会社ぎょうせい | 【創業128年(明治26年)／日本トップクラスの法令出版社】,東京/仙台/愛知/福岡積極採用【総合職(営業/出版/SE/コンサル)】 正社員,正社員,
グローヴァ会計事務所株式会社 | 【大阪府緊急雇用対策に賛同】時短も可★未経験・第二新卒歓迎,会計・税務のお仕事！【総合職】残業ほぼなし！年間休日130日！ 正社員,正社員,
株式会社情報技術センター | 年休125日◆残業月20H以内◆8/21マイナビ転職フェア出展@品川,完全未経験OK！フレックス有【ITエンジニア】土日祝休★10月入社 正社員,正社員,300万円～600万円
株式会社 ティ・システム・ジャパン | 【WEB面接OK】プロジェクト明けに約1週間休める嬉しい制度あり！,スキルや目標に応じた案件にアサイン！【SE／PG】<研修充実> 正社員,正社員,300万円～550万円
株式会社マルゴ・レーベル | 大手企業に対応するラベル製造会社【面接1回／面接交通費補助】,【社内システム担当】原則定時退社／土日休み／U・Iターン歓迎 正社員,正社員,280万円～450万円
吉田熱処理工業株式会社 | 足利工場　製造業が初めてという方も歓迎します！,年間休日は140日以上！オフが充実できる【製造職】★未経験OK 正社員,正社員,
株式会社ネットタワー | 『Pearl Lady』『PEARL LADY CHA BAR』等人気ブランドを運営,フードテック企業を目指す【社内SE】★土日祝休み ★若手活躍中 正社員,正社員,300万円～400万円
トヨタ自動車東日本株式会社 | <トヨタグループ> 年休121日/完休2日制(土日)/充実の福利厚生,トヨタの車づくりをITで支える【IT系総合職（社内SE）】 正社員,正社員,545万円～725万円
株式会社コンプケア | リモート需要でソフトへのニーズ増/残業月平均20時間/土日祝休み,完全自社内開発！自社パッケージソフトの【エンジニア(SE/PG)】 正社員,正社員,330万円～450万円
守谷輸送機工業株式会社 | ＼初公募！／エレベーターメーカーのIT部門を支える即戦力採用,【社内SE】◇年休122日 ◇賞与4.5ヵ月分 ◇1週間以上の長期休暇 正社員,正社員,350万円～550万円
株式会社マイナビミドルシニア | マイナビ ミドルシニア　人材紹介サービス,【ITエンジニア】いくつになっても働けるエンジニアを目指す 人材バンク登録,人材バンク登録,380万円～800万円
株式会社エル・エス・コーポレーション | ◎完全週休2日制（土・日）・年間休日121日で働きやすい環境♪,【 PCサポート・社内SE】トヨタ車体グループでスキルアップ 正社員,正社員,300万円～400万円
千代田測器株式会社 | 設立70年の老舗企業◆30代男性活躍中！将来のコアメンバー募集！,【事務スタッフ】◆土日祝休の完休2日×残業月10h程度×未経験OK 正社員,正社員,250万円～300万円
クリエートメディック株式会社 | 賞与年5.7ヶ月分/年休126日(土日)/手当充実/トップクラスシェア,＜東証一部上場＞医療機器メーカーの【社内SE】※リーダー候補 正社員,正社員,300万円～500万円
株式会社グローバルワークス | キャリアを考えると今のままではダメだ…そう感じている方へ。,"イマこそ！ AWS,Flutter,Laravelなどトレンドの技術に挑戦【SE】 正社員",正社員,
株式会社System Tomorrow | 受託開発のみ！100％自社内開発！⇒なので、残業も転勤も無し！,エンジニア目線の会社でのびのびと活躍できる！【SE・PG】 正社員,正社員,400万円～600万円
株式会社ADOKAN | 本社で絶好調のロボット独占直請開発、鹿児島支社で受託準備中！,新天地/鹿児島で、都心に負けない働き方を実現できる【SE・PG】 正社員,正社員,250万円～550万円
株式会社晋遊舎 | （しんゆうしゃ）◆役に立つコンテンツを提供し続ける出版社です,本格商品テストメディア『the360.life』運営【社内SE】 正社員,正社員,500万円～650万円
株式会社エフ・アイ・ティ | ◆残業ほぼなし◆賞与実績5ヶ月分◆新築3年目のキレイなオフィス,社内の各種システム開発などに携わる【社内SE】★土日祝休 正社員,正社員,
国立研究開発法人情報通信研究機構 | 【NICT】サイバーセキュリティネクサス　◆20～30代活躍中,【研究技術員(SE)】SOCおよびセキュリティ機器検証業務 契約社員,契約社員,470万円～780万円
株式会社シンギ | 食品パッケージの専門商社が共に歩む仲間を募っています！,社内システムの企画・運営【社内SE】これまでの経験が活かせます 正社員,正社員,350万円～400万円
国立研究開発法人情報通信研究機構 | 【NICT】サイバーセキュリティ研究所　◆20～30代活躍中,【研究技術員(SE)】IoT機器のセキュリティに関する技術開発 契約社員,契約社員,478万円～700万円
株式会社ボルテックスセイグン | [健康経営優良法人ブライト500]・[働きやすい職場認証制度]認定,総合物流企業の【総合職(社内SE／貿易事務／物流管理)】 正社員,正社員,
スリーアールズ株式会社 | 働き方はあなた次第！日勤のみ、夜勤のみ、MIXもOK♪,★年休168日＆月収35万円以上も可！【特別車ドライバー】 正社員,正社員,
国立研究開発法人情報通信研究機構 | 【NICT】サイバーセキュリティ研究所　◆20～30代活躍中,【研究技術員(SE)】サイバー攻撃情報集積・プラットフォーム開発 契約社員,契約社員,478万円～650万円
エンパワー株式会社 | ■30代の先輩活躍中！■年間休日127日／残業月20h以下,"＼あなたにベストな""""働き方""""を一緒に考えます！／【 SE・PG 】 正社員",正社員,
株式会社ジー・ソフト | 土日祝休み・残業平均月10時間以下・カジュアルWEB面談実施中！,【ITエンジニア】のお悩み聞かせてください！[SE・PG経験者歓迎] 正社員,正社員,
株式会社チャーム | アスクル(株)の100%出資子会社／ペット用品の通販でトップクラス,★完全週休2日★残業月30h以内★【インフラエンジニア】※社内SE 正社員,正社員,450万円～600万円
IFS株式会社 | ★リモートワークも実施中★抗体検査可能★1日6時間勤務を目指す,“育ち盛り”のベンチャー企業を一緒に育てる【ITエンジニア】 正社員,正社員,360万円～720万円
株式会社アスページ | ★定着率92％★年1回海外or国内旅行★年休123日★20名採用,【ITエンジニア】◆未経験も歓迎◆入社前リモート研修で資格取得 正社員,正社員,250万円～750万円
株式会社ISS | ★未経験・経験者とも歓迎★設立以来13期連続黒字★年1回9連休,直請けが基本【ITエンジニア／開発・インフラ】新部署もスタート 正社員,正社員,250万円～700万円
株式会社メイテックフィルダーズ | 東証一部上場グループ／土日祝休み・残業代1分単位支給,【フィールドエンジニア】◆装置の組立てや設置、技術サポート等 正社員,正社員,350万円～710万円
エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,NTTグループの安定基盤で経験をフルに生かせる！【土木技術者】 正社員,正社員,300万円～550万円
グローバルトレード株式会社 | 【ブランド品買取・販売の業界大手】即日・翌日など早期面接OK,＼オープニング募集／【事務系総合職】★面接保証★20代活躍中 正社員,正社員,300万円～360万円
日鉄ソリューションズ株式会社 | ◆東証一部上場/ユーザー系SIer◆健康経営優良法人◆年休124日,最先端のDXを手がける【アプリケーションエンジニア】 正社員,正社員,480万円～710万円
KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,社員の業務を効率化するシステムを担う【社内SE】★土日祝休み 正社員,正社員,450万円～650万円
日鉄ソリューションズ株式会社 | 【東証一部上場/ユーザー系SIer】◎リモートワーク実施,◆平均年収838万円◆【ITソリューション営業】◎年間休日124日 正社員,正社員,480万円～710万円
フルウィル株式会社 | 【大阪府緊急雇用対策に賛同】年休130日 /年収180万円UP実績あり,還元率70％以上◆単価開示◆9割以上が前給UP【ITエンジニア】 正社員,正社員,384万円～1000万円
パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,20代女性活躍中◇未経験OK×研修あり【事務スタッフ】土日祝休 正社員,正社員,250万円～350万円
株式会社ココロザシ | 年間休日130日/定着率100％/希望の案件にアサイン,前職給与保証◎エンジニアのスキルを正当に評価します【PG/SE】 正社員,正社員,420万円～1000万円
株式会社ヒューマンウェア研究所 | ◆完全週休2日(土日休)◆年休120日以上◆面接1回◆副業OK！,【ITエンジニア（アプリ・インフラ）】★やりたい案件探します 正社員,正社員,320万円～500万円
株式会社bloom | ＃残業月5h以下＃完全週休2日制＃面接1回＃1年後に月給5万UP,未経験から活躍できる【Webデザイナー】＃最長1年の研修あり 正社員,正社員,
株式会社ワンブリッジ | 【エンジニアとして高みへ目指す】◆手厚い手当&福利厚生,IoTから国家プロジェクトまで!【ITエンジニア(開発／インフラ)】 正社員,正社員,440万円～700万円
株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,ステップアップを叶える【ITエンジニア】定着率95％！在宅勤務可 正社員,正社員,360万円～1020万円
株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率97.1％,未経験から、変われるチャンス。【ITエンジニア】★充実の研修有 正社員,正社員,350万円～500万円
株式会社アイビス | ※大阪限定募集※ 人気アプリ「ibisPaint」を開発◎年休125日,成長した未来の自分に出会える！【ITエンジニア】※大阪限定募集 正社員,正社員,350万円～600万円
株式会社アズールドットネット | ★大手SIer直請けの大規模案件中心★ほぼリモート勤務です！,【クラウドエンジニア】◆Azure／AWS／Office365でシステム構築 正社員,正社員,450万円～900万円
株式会社ベリサーブ | ★SCSKグループ★平均有給取得11.3日／年★平均残業24.2時間／月,上流工程から品質向上に貢献【SAPコンサルタント】★年休124日 正社員,正社員,400万円～1000万円
ＪｏｋｅｒＰｉｅｃｅ株式会社 | 【大阪府緊急雇用対策に賛同】基本定時退社／リモートワークあり,自社アプリ開発の新規事業が始動！企画から関わる【SE】 正社員,正社員,
パーソルテンプスタッフ株式会社 | 事務デビュー歓迎！大手・優良企業で20代女性が活躍中♪,【事務スタッフ】月給制×土日祝休★社会人経験があればOK！ 正社員,正社員,250万円～350万円
クオリティソフト株式会社 | 100%自社製品開発／上流工程に携われます,自社製品開発エンジニア【PG・SE】 正社員,正社員,400万円～700万円
株式会社BalloonPartners | ＜設立以来、離職者ゼロ！＞代表自ら、全国へ！出張面接実施！,今の自分だからこそ、描ける理想をカタチに【ITエンジニア】 正社員,正社員,400万円～750万円
株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ) 】★年休123日＆残業月15h程度★ 正社員,正社員,400万円～800万円
豊ハイテック株式会社 | 【 トヨタグループ｜ジェイテクト100％出資 】,チャレンジできる職場で活躍【システム開発】★在宅勤務も実施中 正社員,正社員,450万円～850万円
株式会社ピー・エム・シー | 大手カーディーラーをはじめクライアントとの直取引で安定成長！,自社システムの【 エンジニア(SE/PG) 】★フルリモートOK！ 正社員,正社員,400万円～600万円
富国生命保険相互会社 | 経営安定、待遇・福利厚生充実の企業が中途採用を実施！,未経験OK！【営業総合職（営業所長候補）】年休125日／賞与4カ月 正社員,正社員,350万円～650万円
ダイハツ工業株式会社 | 自動車開発を通じ、関西から未来の社会を作り上げる！,企画から開発まで幅広く携われる【自動車開発エンジニア】 正社員,正社員,450万円～800万円
株式会社サニックス | ◆東証一部上場企業 ◆年間休日115日 ◆初任地希望を確約,【営業】次世代へ快適な環境を提供するSE事業部 正社員,正社員,
株式会社アイエスエフネット | 毎年69％が昇給★インセンティブ還元率MAX60％★完全週休2日制,インフラ・クラウド未経験OK【ITエンジニア】年休126日/広島採用 正社員,正社員,306万円～1000万円
株式会社パレットリンク | ～社員ファーストな会社で個性を活かして働こう！～★年休126日,名古屋で活躍！【ITエンジニア】★年収600万円以上も目指せる！ 正社員,正社員,300万円～700万円
株式会社九州ソフタス | 【 官公庁や大手通信会社等との取引多数 】★PL・PMも目指せる！,【ITエンジニア(SE)】土日祝休み/残業月20ｈ以内/賞与年2回 正社員,正社員,375万円～600万円
株式会社ライズサービス | 大阪府緊急雇用対策に賛同│注目の西日本ベンチャー100連続選出,【エンジニア】※年休122日＆残業もほぼナシ！★受託案件増加中 正社員,正社員,400万円～850万円
日本原燃株式会社 | ☆原子燃料サイクルの中核を担う国策民営会社☆,＜経験者募集＞充実の福利厚生・年間休日123日【技術系総合職】 正社員,正社員,400万円～700万円
アクティブ・アイティ株式会社 | 【社員定着率90％】,【インフラエンジニア】定着率90％☆年休130日☆充実の教育体制 正社員,正社員,252万円～318万円
株式会社アイエスエフネット | ＊在宅比率55.7％ ＊有給取得率81％ ＊年間休日126日／土日祝,【ITサポート（インフラエンジニア）】＊残業月平均7.4ｈ 正社員,正社員,360万円～700万円
光ビジネスフォーム株式会社 | ジャスダック上場*フレックス制*大手や官公庁と直取引*年休126日,上場企業×100％自社内勤務【社内SE】＊リモートワーク実施中 正社員,正社員,
INTLOOP株式会社 | 日本を代表する企業と取引／年休120日～／年収500万以上スタート,クライアントの課題を解決！【ITコンサルタント】※未経験歓迎 正社員,正社員,500万円～1000万円
株式会社アイティープロデュース | 転勤なし◎残業は月平均7時間◎有休取得…平均10日間◎服装自由,最先端の開発に携われる【SE・PG】年休139日★完休2日制(土日祝) 正社員,正社員,300万円～550万円
株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,案件単価の75%を給与に還元【ITエンジニア（開発・インフラ）】 正社員,正社員,430万円～1100万円
株式会社トーコー | 《未経験OK！5名以上を採用》◆賞与年2回◆面接1回◆AT限定可,【役員車運転手】★平日日勤のみ！完全土日休み＆夜勤なし！ 契約社員,契約社員,300万円～400万円
アカリエヘルスケアカンパニー株式会社 | 2021年8月2日～社名がアカリエに変わります,2025年に100兆円を超える介護市場が舞台に！【ITエンジニア】 正社員,正社員,360万円～780万円
株式会社スターシステム | リモートワークあり｜*◆新事業部新設で事業も拡大中◆*,＜自社内受託開発＞【 ITエンジニア 】リーダー育成プログラム有 正社員,正社員,350万円～700万円
株式会社KDDIエボルバ | 東証1部上場企業グループ◆テレワーク可！賞与年2回／年休123日,★安定と挑戦を両立できる会社【ITエンジニア(開発／インフラ)】 正社員,正社員,350万円～650万円
株式会社セルア | 大阪府緊急雇用対策に賛同｜土日の完全週休2日で年間休日123日！,【ITエンジニア】※経験者は前給考慮！未経験者は90日の研修あり 正社員,正社員,250万円～700万円
グルーコードシステムズ株式会社 | ★フレックス制／年休130日／在宅あり／勉強会あり＝高い定着率,★上場企業同等待遇/残業ほぼなし/自社内...etc【プログラマー】 正社員,正社員,300万円～1500万円
ジャパニアス株式会社 | 【全国に11拠点を展開】◆転勤なし◆年間休日125日◆残業月20H,エンジニアの満足度を追求！【SE】★自社内開発★テレワーク7割 正社員,正社員,400万円～800万円
株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,月35万～【ITエンジニア】★有給消化81％★年休126日／学歴不問 正社員,正社員,450万円～1000万円
ジャパニアス株式会社 | 大手と取引実績多数◇全国募集◇社員数1200名◇テレワーク7割,スピード昇格＆年収800万円可能!【SE(リーダー候補)】◆転勤なし 正社員,正社員,500万円～900万円
